gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
ADAM7,0.891089,0.9772,0.959826,0.995267,0.875682,1.05036,0.98779,1.04221
ADAM8,0.864893,0.949095,0.444608,0.907665,0.936767,1.05538,0.995966,0.952921
ADAM9,0.940158,0.938759,0.00749367,1.90076,0.990162,0.978082,0.997914,0.945533
ADAMDEC1,0.980218,0.948083,0.00360913,4.75335,0.938598,1.32302,0.997914,1.12146
ADAMTS1,0.593794,0.884604,6.14E-05,0.721642,0.96775,1.0241,0.991356,0.943676
ADAMTS10,0.706292,0.916655,0.254423,0.893412,0.97216,0.97824,0.999088,0.996174
ADAMTS12,0.531231,0.849582,0.94902,1.00893,0.959061,0.972667,0.992034,0.946676
ADAMTS13,0.680238,0.854851,0.512148,0.88678,0.720474,0.795014,0.905692,0.824403
ADAMTS14,0.544994,0.836525,0.775446,1.04,0.880381,0.921614,0.993745,0.945564
ADAMTS15,0.856181,0.953457,0.532308,1.07432,0.867852,1.08982,0.939103,1.11109
ADAMTS16,0.599019,0.909164,0.241822,0.916378,0.93773,0.966227,0.993753,0.964582
ADAMTS17,0.714306,0.927151,0.269975,0.906138,0.80652,0.905886,0.996577,0.966033
ADAMTS18,0.571693,0.909428,0.592844,0.958925,0.79962,0.925776,0.716659,0.89167
ADAMTS19,0.692393,0.940368,0.755482,0.973359,0.971889,1.01519,0.997914,0.987639
ADAMTS2,0.590392,0.875844,0.922201,1.0149,0.855251,0.912166,0.997914,0.968845
ADAMTS20,0.549631,0.924773,0.404646,0.959039,0.893992,0.967678,0.993753,0.977711
ADAMTS3,0.597076,0.900283,0.836586,0.976906,0.992052,0.995077,0.997914,0.97456
ADAMTS4,0.64281,0.884088,0.859372,1.02872,0.948969,0.959607,0.997914,0.96259
ADAMTS5,0.959849,0.986485,2.07E-07,0.680078,0.0990226,0.759219,0.995966,0.964593
ADAMTS6,0.631765,0.892092,0.567774,1.06877,0.923623,0.947312,0.997914,1.02412
