miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-miR-1933-3p,Target,35,35,35,35,35,35
mmu-miR-1933-5p,Target,35,35,35,35,35,35
mmu-miR-1934,Target,35,35,35,35,35,35
mmu-miR-1935,Target,35,35,35,35,35,35
mmu-miR-1936,Target,35,35,35,35,35,35
mmu-miR-1937b,Target,33.1126,35,31.6793,35,35,35
mmu-miR-1937c,Target,35,31.1663,32.9576,33.3404,35,35
mmu-miR-1938,Target,35,35,35,35,35,35
mmu-miR-1939,Target,35,35,35,35,35,35
mmu-miR-193a-3p,Target,33.0423,31.2862,34.8374,33.7583,31.6517,32.2962
mmu-miR-193b,Target,25.4932,25.388,26.025,26.3069,25.9291,25.3319
mmu-miR-194,Target,25.7371,25.9979,26.6377,26.6559,25.9579,27.0271
mmu-miR-1940,Target,35,35,35,35,35,35
mmu-miR-1941-3p,Target,35,35,35,35,35,35
mmu-miR-1941-5p,Target,35,35,35,35,35,35
mmu-miR-1942,Target,35,35,35,35,35,35
mmu-miR-1943,Target,35,35,35,35,35,35
mmu-miR-1944,Target,35,35,35,35,35,35
mmu-miR-1945,Target,35,35,35,35,35,35
mmu-miR-1946a,Target,35,35,35,35,35,35
mmu-miR-1947,Target,35,35,35,35,35,35
mmu-miR-1948,Target,19.5655,35,35,35,35,35
mmu-miR-1949,Target,35,35,35,35,35,35
mmu-miR-195,Target,22.1374,22.2991,23.597,23.5143,22.9295,22.2082
mmu-miR-1950,Target,35,35,35,35,35,35
mmu-miR-1951,Target,35,35,35,35,35,35
mmu-miR-1952,Target,35,35,35,35,35,35
mmu-miR-1953,Target,35,35,35,35,35,35
mmu-miR-1954,Target,35,35,35,35,35,35
mmu-miR-1956,Target,35,35,35,35,35,35
mmu-miR-1957,Target,35,35,35,35,35,35
mmu-miR-1958,Target,35,35,35,35,35,35
mmu-miR-1959,Target,35,35,35,35,35,35
mmu-miR-1960,Target,35,35,35,35,35,35
mmu-miR-1961,Target,10.928,9.4073,10.8797,9.9856,10.7309,10.7991
mmu-miR-1962,Target,35,35,35,35,35,35
mmu-miR-1963,Target,35,35,35,35,35,35
mmu-miR-1964,Target,35,35,35,35,35,35
mmu-miR-1965,Target,35,35,35,35,35,35
mmu-miR-1966,Target,35,35,35,35,35,35
mmu-miR-1967,Target,35,35,35,35,35,35
mmu-miR-1968,Target,35,35,35,35,35,35
mmu-miR-1969,Target,35,35,35,35,35,35
mmu-miR-196a,Target,35,35,35,35,35,35
mmu-miR-196a#,Target,35,35,35,35,35,35
mmu-miR-196b,Target,33.4164,31.929,33.1371,35,34.9737,34.2477
mmu-miR-197,Target,24.3207,28.8861,35,30.4379,31.0164,30.9552
mmu-miR-1970,Target,35,35,35,35,35,35
mmu-miR-1971,Target,35,35,18.5041,32.9936,35,35
mmu-miR-1981,Target,35,35,35,35,35,35
mmu-miR-1982.1,Target,32.7144,29.9092,31.5757,32.6147,34.5188,35
mmu-miR-1982.2,Target,13.1658,12.9756,12.8704,13.4271,35,12.8819
mmu-miR-199a,Target,35,30.4624,35,35,31.429,31.9651
mmu-miR-199a-3p,Target,23.8262,23.0965,25.191,26.0122,23.9572,24.0277
mmu-miR-199b,Target,35,35,35,35,35,35
mmu-miR-19a,Target,21.1612,20.9513,22.9151,22.0358,21.7328,21.9719
mmu-miR-19a#,Target,33.5947,32.9726,35,33.4073,34.8768,35
mmu-miR-19b,Target,16.2317,16.1278,17.6671,17.118,16.7133,16.9623
mmu-miR-200a,Target,26.3312,26.0082,27.5543,30.4589,28.0047,28.7302
mmu-miR-200a#,Target,30.3574,34.0337,31.0078,35,31.5065,32.4123
mmu-miR-200b,Target,30.3416,30.0208,30.4059,32.2276,30.979,31.1342
mmu-miR-200b#,Target,29.7807,28.5486,29.8919,35,32.01,35
mmu-miR-200c,Target,30.348,29.9848,30.5638,30.4756,30.103,30.5978
mmu-miR-200c#,Target,35,35,35,35,35,35
mmu-miR-201,Target,35,28.2487,35,35,35,35
mmu-miR-202,Target,35,35,35,35,35,35
mmu-miR-202-5p,Target,35,35,35,35,35,35
mmu-miR-203,Target,24.7591,25.0767,26.4762,25.8947,25.9895,25.936
mmu-miR-203#,Target,35,35,35,35,35,35
mmu-miR-204,Target,18.6416,19.5236,19.7957,19.1851,17.9762,18.44
mmu-miR-205,Target,30.635,31.1167,33.9959,32.393,30.1773,31.9157
mmu-miR-206,Target,25.9443,25.3114,24.3189,27.8715,35,26.2953
mmu-miR-207,Target,35,35,35,35,35,35
mmu-miR-208,Target,35,35,35,35,35,35
mmu-miR-208b,Target,35,34.9804,35,32.9944,35,34.0584
mmu-miR-20a,Target,18.3173,18.5214,19.8913,19.4486,19.0013,19.0063
mmu-miR-20a#,Target,35,35,35,35,35,35
mmu-miR-20b,Target,21.7954,21.9342,22.9325,22.7956,22.2995,22.421
mmu-miR-20b#,Target,35,35,35,35,35,35
mmu-miR-21,Target,23.0493,23.2141,24.9505,24.0473,23.6712,23.785
mmu-miR-21#,Target,35,35,35,35,35,35
mmu-miR-210,Target,23.022,21.9673,23.5041,23.4934,22.9749,23.4167
mmu-miR-211,Target,35,35,35,35,35,35
mmu-miR-212,Target,35,35,35,35,35,35
mmu-miR-213,Target,24.8545,25.4993,25.4634,24.9247,25.6185,24.5998
mmu-miR-2134,Target,33.4209,33.9457,32.2849,32.3251,32.9522,33.7795
mmu-miR-2135,Target,35,35,35,35,35,35
mmu-miR-2136,Target,35,35,35,35,35,35
mmu-miR-2138,Target,35,35,35,35,35,35
mmu-miR-2139,Target,35,35,35,35,35,35
mmu-miR-214,Target,30.16,29.6968,30.789,31.4871,30.3931,30.3746
mmu-miR-214#,Target,28.728,27.3115,28.9879,29.9603,28.3092,28.4717
mmu-miR-2146,Target,35,35,35,35,35,35
mmu-miR-215,Target,35,35,35,35,35,35
mmu-miR-216a,Target,28.8187,28.4076,29.4702,29.9829,29.1994,31.9646
mmu-miR-216b,Target,25.966,25.2884,25.8916,26.7875,25.9516,28.0666
mmu-miR-217,Target,35,35,35,35,35,35
mmu-miR-218,Target,18.3737,18.0731,19.8851,18.9867,18.6772,19.9466
mmu-miR-218-1#,Target,35,35,35,35,35,35
mmu-miR-218-2#,Target,28.7222,28.229,29.4616,28.3698,28.9541,29.2062
mmu-miR-2182,Target,33.3604,33.1658,32.8571,33.1845,33.5278,35
mmu-miR-2183,Target,35,35,35,35,35,35
mmu-miR-219,Target,28.8658,28.3526,29.9856,29.9152,28.936,30.4832
mmu-miR-219-2-3p,Target,28.6651,28.8404,29.0054,29.8642,29.0618,30.1888
mmu-miR-22,Target,35,35,35,35,35,35
mmu-miR-22#,Target,26.4987,26.7977,26.4228,25.9818,26.3757,26.3945
mmu-miR-220,Target,35,35,35,35,35,35
mmu-miR-221,Target,22.7358,23.2423,23.9443,23.5235,23.1599,23.6656
mmu-miR-222,Target,19.5057,19.4801,19.9393,19.4693,19.8476,19.8262
mmu-miR-223,Target,28.3828,27.867,28.8893,29.28,28.4724,28.5494
mmu-miR-224,Target,32.5576,32.1955,33.3322,32.6997,31.9917,32.8831
mmu-miR-23a,Target,35,35,35,35,35,35
mmu-miR-23a#,Target,34.1787,35,35,35,35,35
mmu-miR-23b,Target,26.4891,26.054,26.9946,27.0788,26.9168,27.0785
mmu-miR-24,Target,17.9327,17.5063,18.467,18.2345,17.9845,18.2176
mmu-miR-24-2#,Target,35,35,35,35,35,35
mmu-miR-25,Target,24.8478,24.9109,25.969,26.1557,25.4769,25.1427
mmu-miR-26a,Target,19.626,19.5809,20.4551,20.4107,19.952,19.9239
mmu-miR-26b,Target,23.4031,23.1433,24.4627,24.206,23.5005,23.9688
mmu-miR-26b#,Target,27.6977,29.9844,27.87,27.0883,27.4339,27.7425
mmu-miR-27a,Target,25.5293,25.8084,26.9581,26.9651,25.6466,26.3613
mmu-miR-27a#,Target,26.9168,29.5231,27.1407,26.4529,26.3191,26.5873
mmu-miR-27b,Target,25.5576,25.605,26.8321,26.8078,25.9672,26.9736
mmu-miR-27b#,Target,27.5688,27.6593,27.9797,27.0809,27.3322,27.8323
mmu-miR-28,Target,25.6755,25.5258,26.7523,26.8158,25.9535,26.8436
