Gen,Condicion,Cx1,Cx2,Cx3,T1,T2,T3
hsa-miR-490-001037,Target,31.5757,35,35,29.4096,29.7654,35
hsa-miR-491-3p-002360,Target,35,35,35,35,35,35
hsa-miR-492-001039,Target,35,35,35,35,35,35
hsa-miR-493-002364,Target,25.6036,31.5772,32.4932,25.7561,25.9819,31.9349
hsa-miR-494-002365,Target,22.599,26.6993,27.0022,22.8905,23.027,26.6607
hsa-miR-499-3p-002427,Target,35,35,35,35,35,35
hsa-miR-500-002428,Target,27.9451,27.6754,27.974,27.991,28.0865,28.2545
hsa-miR-501-001047,Target,26.6358,25.0859,26.4009,26.5872,26.8958,26.3976
hsa-miR-501-3p-002435,Target,35,35,35,35,35,35
hsa-miR-502-001109,Target,30.9672,31.3752,29.929,29.1306,29.5507,30.0368
hsa-miR-502-3p-002083,Target,28.9331,28.3838,28.9709,29.939,29.6193,29.1345
hsa-miR-503-001048,Target,29.9875,29.9125,29.9797,29.9015,30.4857,29.9772
hsa-miR-504-002084,Target,35,35,35,35,35,35
hsa-miR-505-002089,Target,27.3483,35,28.0957,27.2708,26.8554,28.7845
hsa-miR-506-001050,Target,35,35,35,35,35,35
hsa-miR-507-001051,Target,35,35,35,35,35,35
hsa-miR-508-001052,Target,33.5843,35,35,35,33.1222,32.9777
hsa-miR-508-5p-002092,Target,35,35,35,35,35,35
hsa-miR-509-3-5p-002155,Target,35,35,35,35,35,35
hsa-miR-509-5p-002235,Target,35,35,35,35,35,35
hsa-miR-510-002241,Target,35,35,35,35,35,35
hsa-miR-511-001111,Target,25.2305,35,35,24.4199,25.2596,33.5329
hsa-miR-512-3p-001823,Target,33.2034,26.9942,26.9286,32.839,31.57,26.9768
hsa-miR-512-5p-001145,Target,35,34.9522,35,35,35,35
hsa-miR-513-5p-002090,Target,35,35,35,35,35,35
hsa-miR-515-3p-002369,Target,25.3665,24.7458,24.547,25.914,24.3215,24.9034
hsa-miR-515-5p-001112,Target,35,35,35,35,35,34.7272
hsa-miR-516a-5p-002416,Target,35,35,35,35,35,35
hsa-miR-516b-001150,Target,35,31.3824,32.9704,35,35,31.586
hsa-miR-517a-002402,Target,34.3252,27.8745,27.8695,34.5796,33.0048,27.9393
hsa-miR-517b-001152,Target,35,35,35,35,34.9694,30.9536
hsa-miR-517c-001153,Target,32.298,28.2325,28.012,30.871,29.3685,27.8634
hsa-miR-518a-3p-002397,Target,35,30.7883,31.735,32.7414,35,31.5918
hsa-miR-518a-5p-002396,Target,35,35,35,35,35,35
hsa-miR-518b-001156,Target,35,29.0298,28.7513,35,26.1333,28.7288
hsa-miR-518c-002401,Target,35,35,35,35,35,35
hsa-miR-518d-001159,Target,35,31.6001,35,35,35,30.9198
hsa-miR-518d-5p-002389,Target,18.3523,35,19.1142,35,18.7895,35
hsa-miR-518e-002395,Target,35,29.9349,30.6028,35,35,30.6696
hsa-miR-518f-002388,Target,35,30.4808,29.9268,35,30.9099,30.1212
hsa-miR-519a-002415,Target,33.3566,28.5647,28.9749,32.9998,31.7817,28.8179
hsa-miR-519c-001163,Target,35,33.9513,33.0975,35,35,35
hsa-miR-519d-002403,Target,35,29.4629,29.6383,35,32.9095,29.2301
hsa-miR-519e-002370,Target,35,35,35,35,35,35
hsa-miR-520a#-001168,Target,35,31.5465,35,35,35,35
hsa-miR-520a-001167,Target,35,35,35,35,35,35
hsa-miR-520b-001116,Target,35,32.9112,32.7749,34.7753,35,30.9402
hsa-miR-520d-5p-002393,Target,35,35,35,35,35,35
hsa-miR-520e-001119,Target,35,35,35,35,26.9568,35
hsa-miR-520f-001120,Target,35,35,35,35,35,32.0765
hsa-miR-520g-001121,Target,35,29.1578,28.6315,35,35,29.8106
hsa-miR-521-001122,Target,35,35,35,35,35,35
hsa-miR-522-002413,Target,35,30.5778,31.0856,32.1294,31.9158,30.6507
hsa-miR-523-002386,Target,26.7105,28.1662,24.6828,25.932,23.1818,26.488
hsa-miR-524-5p-001982,Target,35,35,35,35,35,35
hsa-miR-525-001174,Target,35,35,35,35,35,35
hsa-miR-525-3p-002385,Target,35,31.4828,32.9343,35,35,33.4501
hsa-miR-526b-002382,Target,35,35,31.049,35,35,33.1295
hsa-miR-532-001518,Target,23.6649,23.5062,23.9596,23.9805,23.8187,23.8647
hsa-miR-532-3p-002355,Target,26.487,26.3807,26.9862,26.9473,26.022,26.141
hsa-miR-539-001286,Target,22.5273,27.3867,27.9532,22.7413,21.761,27.6272
hsa-miR-541-002201,Target,29.6878,35,35,29.8919,29.2724,35
hsa-miR-542-3p-001284,Target,33.3588,33.0168,31.9855,32.2027,32.0626,32.8653
hsa-miR-542-5p-002240,Target,33.0028,35,33.0332,33.6612,33.0928,33.9556
hsa-miR-544-002265,Target,33.9485,35,35,34.9629,35,35
hsa-miR-545-002267,Target,34.138,35,35,33.9756,35,34.3499
hsa-miR-548a-001538,Target,32.907,35,34.5055,35,35,35
hsa-miR-548a-5p-002412,Target,35,35,35,35,35,35
hsa-miR-548b-001541,Target,35,35,35,35,35,35
hsa-miR-548b-5p-002408,Target,33.5997,31.2707,30.4588,33.0227,32.1678,31.0396
hsa-miR-548c-001590,Target,35,35,35,35,35,35
hsa-miR-548c-5p-002429,Target,33.9738,32.7862,32.9726,35,34.7197,33.7392
hsa-miR-548d-001605,Target,29.1918,31.9736,32.7433,35,35,33.4802
hsa-miR-548d-5p-002237,Target,32.6023,31.4527,31.3075,34.3597,35,32.7414
hsa-miR-551b-001535,Target,30.3134,31.9744,32.6433,30.9762,30.5099,32.7658
hsa-miR-556-3p-002345,Target,35,35,35,35,35,35
hsa-miR-556-5p-002344,Target,35,35,35,35,35,35
hsa-miR-561-001528,Target,35,35,35,35,35,35
hsa-miR-570-002347,Target,35,32.8409,33.0334,35,35,35
hsa-miR-574-3p-002349,Target,19.7075,22.6817,22.965,19.8881,18.7702,22.6022
hsa-miR-576-3p-002351,Target,29.7422,29.0782,28.973,29.7148,29.9695,29.4768
hsa-miR-576-5p-002350,Target,29.5675,35,35,35,35,29.9943
hsa-miR-579-002398,Target,28.969,28.8615,28.9482,28.9637,29.4147,29.233
hsa-miR-582-3p-002399,Target,35,35,35,35,35,35
hsa-miR-582-5p-001983,Target,35,35,35,35,35,35
hsa-miR-589-002409,Target,30.1993,30.4569,31.4981,31.7194,29.0167,32.9319
hsa-miR-590-5p-001984,Target,26.9492,24.5299,23.8206,26.0001,27.1291,23.7006
hsa-miR-597-001551,Target,31.0778,30.0816,30.3894,30.0405,31.2571,30.5386
hsa-miR-598-001988,Target,25.5906,27.9549,27.9715,25.8178,25.0033,27.8426
hsa-miR-615-5p-002353,Target,35,35,35,35,35,35
hsa-miR-616-002414,Target,30.1992,29.231,28.9829,32.001,29.4812,29.1933
hsa-miR-618-001593,Target,27.7057,28.365,28.6439,28.9902,28.5005,28.2902
hsa-miR-624-002430,Target,35,29.8851,31.8175,35,35,35
hsa-miR-625-002431,Target,30.6107,26.7206,27.9518,32.0604,30.9379,27.9961
hsa-miR-627-001560,Target,34.2889,34.07,33.8567,32.5366,33.6125,35
hsa-miR-628-5p-002433,Target,27.1425,28.9028,28.8614,26.9555,25.2536,28.9512
hsa-miR-629-002436,Target,31.4607,29.4903,30.5598,31.5634,31.6301,29.9718
hsa-miR-636-002088,Target,29.8282,28.4166,28.7373,30.4015,29.8917,28.6963
hsa-miR-642-001592,Target,28.5587,28.4256,28.9849,28.9785,28.574,28.4485
hsa-miR-651-001604,Target,35,35,35,35,35,35
hsa-miR-652-002352,Target,26.9997,25.7236,26.0452,27.9557,27.5361,25.898
hsa-miR-653-002292,Target,35,35,35,35,34.1209,35
hsa-miR-654-001611,Target,25.1842,28.1723,35,25.2865,24.0911,35
hsa-miR-654-3p-002239,Target,28.8624,32.961,31.7706,28.4531,27.4303,31.1432
hsa-miR-655-001612,Target,24.9299,28.8165,28.996,24.977,24.6005,28.9494
hsa-miR-660-001515,Target,24.2107,25.1594,25.9051,24.5624,24.5466,25.6791
hsa-miR-671-3p-002322,Target,26.7198,24.3848,24.9771,26.8283,26.3512,24.789
hsa-miR-672-002327,Target,35,35,35,35,35,35
hsa-miR-674-002021,Target,35,35,35,35,35,35
hsa-miR-708-002341,Target,26.8106,24.4514,24.3538,25.9591,26.4908,23.9813
hsa-miR-744-002324,Target,23.4721,25.7255,25.968,23.3852,22.9501,25.6636
hsa-miR-758-001990,Target,26.5638,29.3505,30.015,26.7774,26.6843,28.3819
hsa-miR-871-002354,Target,35,35,35,35,35,35
hsa-miR-872-002264,Target,35,35,35,35,35,35
hsa-miR-873-002356,Target,35,35,35,35,35,33.6272
hsa-miR-875-3p-002204,Target,35,35,35,35,35,35
hsa-miR-876-3p-002225,Target,35,32.5675,33.3971,35,35,35
hsa-miR-876-5p-002205,Target,35,35,35,35,35,35
hsa-miR-885-3p-002372,Target,35,35,35,35,35,35
hsa-miR-885-5p-002296,Target,32.1185,30.4189,30.3889,31.6904,31.0784,30.6543
